IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
49.142.244.129,18456,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,265,0.56
8.217.229.36,20357,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",201,0.46
202.81.232.199,53249,TRUE,HKG,HK,Asia Pacific,Hong Kong,4658,2012 Limited Netfront,284,0.45
123.248.102.197,36272,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,414,0.42
123.248.102.197,31241,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,414,0.41
123.248.102.197,10347,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,416,0.39
221.124.202.168,26941,TRUE,HKG,HK,Asia Pacific,Hong Kong,9304,HGC Global Communications Limited,663,0.38
113.253.121.39,24420,TRUE,HKG,HK,Asia Pacific,Hong Kong,9304,HGC Global Communications Limited,685,0.33
138.3.215.11,2053,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,483,0.31
151.145.69.105,2083,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,486,0.30
49.142.147.27,12722,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,207,0.28
165.154.113.120,11451,TRUE,HKG,HK,Asia Pacific,Hong Kong,135377,UCLOUD INFORMATION TECHNOLOGY HK LIMITED,631,0.25
49.142.244.129,12502,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,274,0.23
152.70.102.124,2083,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,638,0.21
151.145.69.105,2087,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,501,0.20
8.217.229.36,40984,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",177,0.19
221.125.146.103,33083,TRUE,HKG,HK,Asia Pacific,Hong Kong,9304,HGC Global Communications Limited,862,0.19
132.145.121.242,2096,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,531,0.18
223.18.34.201,30853,TRUE,HKG,HK,Asia Pacific,Hong Kong,9304,HGC Global Communications Limited,703,0.15
223.18.34.201,36152,TRUE,HKG,HK,Asia Pacific,Hong Kong,9304,HGC Global Communications Limited,715,0.14
165.154.32.48,34237,TRUE,HKG,HK,Asia Pacific,Hong Kong,135377,UCLOUD INFORMATION TECHNOLOGY HK LIMITED,953,0.13
203.175.47.46,14436,TRUE,HKG,HK,Asia Pacific,Hong Kong,17573,SK Broadband Co Ltd,529,0.10
223.18.129.85,12345,TRUE,HKG,HK,Asia Pacific,Hong Kong,9304,HGC Global Communications Limited,656,0.08
119.28.58.214,10002,TRUE,HKG,HK,Asia Pacific,Hong Kong,132203,"Tencent Building, Kejizhongyi Avenue",195,0.04
45.131.133.127,49653,TRUE,HKG,HK,Asia Pacific,Hong Kong,41378,Kirino LLC,201,0.03
8.210.92.27,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",195,0.02
123.58.212.234,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,135377,UCLOUD INFORMATION TECHNOLOGY HK LIMITED,951,0.02
203.184.132.238,1520,TRUE,HKG,HK,Asia Pacific,Hong Kong,9304,HGC Global Communications Limited,220,0.02
